episode,player,total_reward,steps_played,won
204_W,W,-4.0,14.0,B
204_B,B,999.0,11.0,B
205_W,W,1000.0,10.0,W
205_B,B,0.0,8.0,W
206_W,W,-13.0,23.0,B
206_B,B,997.0,13.0,B
207_W,W,-1.0,11.0,B
207_B,B,1001.0,9.0,B
208_W,W,-1008.0,18.0,B
208_B,B,-10.0,18.0,B
209_W,W,1003.0,5.0,W
209_B,B,1.0,5.0,W
210_W,W,1002.0,6.0,W
210_B,B,-5.0,11.0,W
211_W,W,997.0,19.0,W
211_B,B,-4.0,18.0,W
212_W,W,992.0,20.0,W
212_B,B,-6.0,16.0,W
213_W,W,996.0,12.0,W
213_B,B,-3.0,9.0,W
214_W,W,1003.0,9.0,W
214_B,B,-3.0,13.0,W
215_W,W,-3.0,15.0,B
215_B,B,1002.0,10.0,B
216_W,W,1000.0,12.0,W
216_B,B,-7.0,17.0,W
217_W,W,993.0,19.0,W
217_B,B,-7.0,17.0,W
218_W,W,996.0,18.0,W
218_B,B,-2.0,14.0,W
219_W,W,4.0,6.0,W
219_B,B,-1002.0,12.0,W
220_W,W,1.0,9.0,B
220_B,B,990.0,20.0,B
221_W,W,0.0,6.0,B
221_B,B,999.0,7.0,B
222_W,W,-3.0,13.0,B
222_B,B,999.0,11.0,B
223_W,W,991.0,21.0,W
223_B,B,-1.0,11.0,W
224_W,W,996.0,16.0,W
224_B,B,-5.0,15.0,W
225_W,W,-2.0,10.0,B
225_B,B,997.0,11.0,B
226_W,W,1004.0,10.0,W
226_B,B,-12.0,24.0,W
227_W,W,-18.0,30.0,B
227_B,B,995.0,17.0,B
228_W,W,-21.0,33.0,B
228_B,B,997.0,15.0,B
229_W,W,-3.0,11.0,B
229_B,B,994.0,14.0,B
230_W,W,989.0,25.0,W
230_B,B,1.0,11.0,W
231_W,W,-18.0,30.0,B
231_B,B,992.0,20.0,B
232_W,W,-2.0,12.0,B
232_B,B,996.0,14.0,B
233_W,W,-3.0,15.0,B
233_B,B,1001.0,11.0,B
234_W,W,3.0,9.0,B
234_B,B,990.0,22.0,B
235_W,W,3.0,5.0,B
235_B,B,1001.0,7.0,B
236_W,W,3.0,7.0,B
236_B,B,997.0,13.0,B
237_W,W,-3.0,13.0,B
237_B,B,993.0,17.0,B
238_W,W,1003.0,3.0,W
238_B,B,-5.0,9.0,W
239_W,W,-1.0,9.0,B
239_B,B,996.0,12.0,B
240_W,W,1004.0,4.0,W
240_B,B,-13.0,19.0,W
241_W,W,-5.0,11.0,B
241_B,B,996.0,10.0,B
242_W,W,980.0,32.0,W
242_B,B,-19.0,29.0,W
243_W,W,974.0,38.0,W
243_B,B,-9.0,19.0,W
244_W,W,-7.0,15.0,B
244_B,B,998.0,10.0,B
245_W,W,-9.0,19.0,B
245_B,B,986.0,24.0,B
246_W,W,987.0,25.0,W
246_B,B,-2.0,12.0,W
247_W,W,980.0,32.0,W
247_B,B,-8.0,18.0,W
248_W,W,981.0,29.0,W
248_B,B,1.0,7.0,W
249_W,W,-8.0,20.0,B
249_B,B,949.0,63.0,B
250_W,W,984.0,28.0,W
250_B,B,-11.0,21.0,W
251_W,W,994.0,16.0,W
251_B,B,-6.0,14.0,W
252_W,W,1.0,7.0,B
252_B,B,993.0,15.0,B
253_W,W,-10.0,22.0,B
253_B,B,994.0,18.0,B
254_W,W,995.0,15.0,W
254_B,B,1.0,7.0,W
255_W,W,977.0,37.0,W
255_B,B,-9.0,21.0,W
256_W,W,1.0,5.0,B
256_B,B,1001.0,5.0,B
257_W,W,997.0,11.0,W
257_B,B,2.0,4.0,W
258_W,W,992.0,20.0,W
258_B,B,0.0,10.0,W
259_W,W,-3.0,11.0,B
259_B,B,995.0,13.0,B
